"['Faridabad', '1414050', '2015-16', '192', '7680', '12000', '17', '30']","['Faridabad', '1414050', '2016-17', '174', '6960', '12500', '17', '29']","['Faridabad', '1414050', '2017-18', '146', '9840', '10500', '17', '30']"
"['SALEM', '938496', '2015-16', '8562', '319838', '21', '34.529', '18.28']","['SALEM', '938496', '2016-17', '8562', '324463', '21', '38.456', '18.27']","['SALEM', '938496', '2017-18', '8562', '325992', '21', '45.096', '20.49']"
"['Thanjavur', '222943', '2015-16', '1450', '85000', '30', '31', '23']","['Thanjavur', '222943', '2016-17', '1450', '80000', '30', '35', '24']","['Thanjavur', '222943', '2017-18', '1350', '76000', '32', '40', '29']"
"['TIRUNELVELI', '473637', '2015-16', '2400', '96000', '35', '0.55', '19.05']","['TIRUNELVELI', '473637', '2016-17', '2416', '96640', '35', '0.58', '21.78']","['TIRUNELVELI', '473637', '2017-18', '2416', '96640', '35', '0.58', '27.61']"
"['VADODARA', '1666495', '2015-16', '1200', '45000', '13750', '18', '12']","['VADODARA', '1666496', '2016-17', '1200', '45000', '13750', '19', '14']","['VADODARA', '1666497', '2017-18', '4500', '115000', '30000', '28', '30']"
"['Tiruchirappalli ', '847387', '2015-16', '2653', '332453', '22.42', '30.36', '27.91']","['Tiruchirappalli ', '847387', '2016-17', '2611', '329111', '23.03', '33.88', '31.55']","['Tiruchirappalli ', '847387', '2017-18', '2471', '263254', '28.81', '38.43', '34.45']"
"['Pimpri Chinchwad', '57.92', '2015-16', '17642', '1124328', '18', '81.01', '67.77']","['Pimpri Chinchwad', '59.52', '2016-17', '17073', '1079223', '18', '85.19', '65.94']","['Pimpri Chinchwad', '61.15', '2017-18', '17789', '1089208', '22', '76.98', '58.73']"
"['ERODE', '498121', '2015-16', '1256', '90432', '35Km', '39KM', '29.02']","['ERODE', '498121', '2016-17', '1244', '88324', '35Km', '42KM', '28.54']","['ERODE', '498121', '2017-18', '942', '64998', '35Km', '45KM', '27.79']"
"['TIRUPPUR', '877778', '2015-16', '1952', '1.60 Lakhs', '1.41 Lakhskm', '28.86', '19.92']","['TIRUPPUR', '877778', '2016-17', '1946', '1.66 Lakhs', '1.35 Lakhskm', '31.13', '20.51']","['TIRUPPUR', '877778', '2017-18', '1938', '1.75 Lakhs', '1.19 Lakhskm', '38.78', '22.8']"
"['Visakhapatnam', '1869729', '2015-16', '7357', '269257', '20', '39.56', '34.87']","['Visakhapatnam', '1869729', '2016-17', '7667', '279798', '20', '42.87', '36.59']","['Visakhapatnam', '1869729', '2017-18', '7953', '304848', '20', '43.92', '40.21']"
"['AIZAWL', '400309', '2015-16', '2.5', '200', '45', 'Rs 5', 'Rs 5']","['AIZAWL', '400309', '2016-17', '2.5', '200', '45', 'Rs 5', 'Rs 5']","['AIZAWL', '400309', '2017-18', '3', '200', '45', 'Rs 5', 'Rs 5']"
"['Coimbatore ', 'NA', '2015-16', 'NA', 'NA', 'NA', 'NA', 'NA']","['Coimbatore ', 'NA', '2016-17', 'NA', 'NA', 'NA', 'NA', 'NA']","['Coimbatore ', 'NA', '2017-18', 'NA', '44', '351294307', '8858', 'NA']"
"['New Town', 'NA', '2015-16', '741', '90407', '7.67', '28.36', '33.9']","['New Town', 'NA', '2016-17', '1056', '139211', '7.67', '29.15', '35.6']","['New Town', 'NA', '2017-18', '1056', '152093', '7.67', '31.94', '36.91']"
"['Davanagere', '434971', '2015-16', '174', '6738', '16', '33.89', '22.71']","['Davanagere', 'NA', '2016-17', '368', '15244', '16', '33.33', '24.08']","['Davanagere', 'NA', '2017-18', '766', '43673', '16', '32.38', '25.74']"
"['Dehradun', 'NA', '2015', '886', 'NA', '29005', 'NA', 'NA']","['Dehradun', 'NA', '2016', '886', 'NA', '29005', 'NA', 'NA']","['Dehradun', 'NA', '2017', '883', 'NA', '27855', 'NA', 'NA']"
"['Warangal', '823185', '2015-16', '5377', '8.22', '3.53', '33.5', '31.11']","['Warangal', '823185', '2016-17', '6102', '8.32', '3.65', '33.81', '31.03']","['Warangal', '823185', '2017-18', '6022', '9.54', '3.85', '34.58', '33.57']"
"['Bhubneshwar', '9.29', '2018-19', '1780', '68000', '36000', 'NA', '25']"
"['MADURAI  ', '1465625', '2015-16', '3494', '545945', '60', '34', '24']","['MADURAI  ', '1465625', '2016-17', '3376', '524293', '62', '36', '23']","['MADURAI  ', '1465625', '2017-18', '3174', '513562', '66', '41', '27']"
"['KOHIMA', '99039', '2015-16', '7', '180', '64', '9', '90']","['KOHIMA', '99039', '2016-17', '7', '180', '64', '5', '80']","['KOHIMA', '99039', '2017-18', '6', '160', '64', '5', '70']"
"['Bengaluru', 'NA', '2015-16', '72315', '50.74', '18.44', '4907.932087', '4291.059148']","['Bengaluru', 'NA', '2016-17', '65720', '45.34', '18.57', '5628.779131', '4210.19571']","['Bengaluru', 'NA', '2017-18', '66595', '44.37', '19.1', '5870.074174', '4237.467373']"
"['Thiruvananthapuram', 'Dec-18', '59.14', '84.66', '3.42', '13.1', '53.17', '7']","['Thiruvananthapuram', 'Nov-18', '44.39', '66.78', '4.07', '7.22', '45.74', '7']","['Thiruvananthapuram', 'Oct-18', '28.59', '50.64', '2.92', '5.65', '11.58', '7']","['Thiruvananthapuram', 'Sep-18', '20.58', '48.4', '2.86', '5.91', '37.26', '7']","['Thiruvananthapuram', 'Aug-18', '12.21', '35.65', '2.88', '5.66', '31.04', '7']","['Thiruvananthapuram', 'Jul-18', '15.48', '40.07', '3.01', '6', '30.45', '7']","['Thiruvananthapuram', 'Jun-18', '14.68', '38.09', '3.07', '5.63', '26.47', '7']","['Thiruvananthapuram', 'May-18', '18.18', '37.92', '3', '5.85', '40.2', '7']","['Thiruvananthapuram', 'Apr-18', '26.48', '52.32', '2.43', '8.15', '39.47', '7']","['Thiruvananthapuram', 'Mar-18', '38.01', '69.54', '1.63', '6.85', '44.21', '7']","['Thiruvananthapuram', 'Feb-18', '50.19', '83.44', '1.64', '7.28', '62.08', '7']","['Thiruvananthapuram', 'Jan-18', '67.77', '96.03', '1.8', '6.29', '49.07', '7']","['Thiruvananthapuram', 'Dec-17', '50.41', '66.09', '2.02', '3.93', '20.03', '7']","['Thiruvananthapuram', 'Nov-17', '38.43', '55.14', '1.95', '4.15', '7.77', '7']","['Thiruvananthapuram', 'Oct-17', '26.33', '45.96', '1.84', '4.08', '7.71', '7']","['Thiruvananthapuram', 'Sep-17', '13.79', '33.68', '1.97', '3.99', '7.63', '7']","['Thiruvananthapuram', 'Aug-17', '16.6', '41.34', '1.89', '3.91', '12.28', '7']","['Thiruvananthapuram', 'Jul-17', '20.19', '46.67', '1.97', '3.94', '16.6', '7']","['Thiruvananthapuram', 'Jun-17', '20.1', '39', '2.2', '4.2', '18.9', '7']","['Thiruvananthapuram', 'May-17', '20', '39', '2.2', '4.2', '18.9', '7']","['Thiruvananthapuram', 'Apr-17', '31', '68', '2.3', '4.5', '14', '7']","['Thiruvananthapuram', 'Mar-17', '27', '51', '2.3', '4.9', '12.8', '7']","['Thiruvananthapuram', 'Feb-17', '42', '68', '2.3', '4.8', '10.4', '7']","['Thiruvananthapuram', 'Jan-17', '45', '71', '2.1', '4.8', '16.7', '7']"
"['Pune Metropolitan Region ', '57.92', '2015-16', '17642', '1124328', '18', '81.01', '67.77']","['Pune Metropolitan Region ', '59.52', '2016-17', '17073', '1079223', '18', '85.19', '65.94']","['Pune Metropolitan Region ', '61.15', '2017-18', '17789', '1089208', '22', '76.98', '58.73']"
"['Surat', '4467797', '2015-16', '201', '8709', '4.3', '38.09', '8.29']","['Surat', '4467797', '2016-17', '1741', '82266', '6', '35.97', '14.55']","['Surat', '4467797', '2017-18', '1960', '80077', '5.9', '36.32', '12.45']"

