City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km,
SMART City Mangaluru,488968,2015-16,6752,158944,NA,NA,NA,
SMART City Mangaluru,488968,2016-17,0,0,NA,NA,NA,
SMART City Mangaluru,488968,2017-18,16,256,NA,NA,NA,
