City Name,Population (2011),Year,Average No. of daily trips,Average No. of passengers (day-to-day basis),Average Trip length in km (daily),Average cost per km (daily),Revenue per km
Bengaluru,NA,2015-16,72315,50.74,18.44,4907.932087,4291.059148
Bengaluru,NA,2016-17,65720,45.34,18.57,5628.779131,4210.19571
Bengaluru,NA,2017-18,66595,44.37,19.1,5870.074174,4237.467373
