City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Agra,1585704,2015-16,245,20222,16546,301632,18.23
Agra,1585704,2016-17,258,16392,15030,273793,18.22
Agra,1585704,2017-18,217,16742,16408,305810,18.4
