City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
 Bareilly,903668,2015-16,25,975000,195.22,5,4994
 Bareilly,903668,2016-17,25,975000,195.22,5,4994
 Bareilly,903668,2017-18,25,975000,195.22,5,4994
