City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
VARANASI,1198491,2015-16,501,15068,38.2,21.33,20.07
VARANASI,NA,2016-17,486,13205,38.38,22.37,21.1
VARANASI,NA,2017-18,463,12792,37.12,23.46,20.01
