City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Belagavi,488157,2016-17,1316,90000,9,     44 paise,27659
Belagavi,488157,2017-18,1292,93000,11,      43 paise,2755
