City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Visakhapatnam,1869729,2015-16,7357,269257,20,39.56,34.87
Visakhapatnam,1869729,2016-17,7667,279798,20,42.87,36.59
Visakhapatnam,1869729,2017-18,7953,304848,20,43.92,40.21
