City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
SMART City Solapur,951558,2015-16,775,72180,300,55,26
SMART City Solapur,951558,2016-17,318,30363,250,49,28
SMART City Solapur,951558,2017-18,158,22121,225,48,23
