City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
TIRUPPUR,877778,2015-16,1952,1.60 Lakhs,1.41 Lakhskm,28.86,19.92
TIRUPPUR,877778,2016-17,1946,1.66 Lakhs,1.35 Lakhskm,31.13,20.51
TIRUPPUR,877778,2017-18,1938,1.75 Lakhs,1.19 Lakhskm,38.78,22.8
