City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Tiruchirappalli ,847387,2015-16,2653,332453,22.42,30.36,27.91
Tiruchirappalli ,847387,2016-17,2611,329111,23.03,33.88,31.55
Tiruchirappalli ,847387,2017-18,2471,263254,28.81,38.43,34.45
