City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
ERODE,498121,2015-16,1256,90432,35Km,39KM,29.02
ERODE,498121,2016-17,1244,88324,35Km,42KM,28.54
ERODE,498121,2017-18,942,64998,35Km,45KM,27.79
