City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
SMART City Muzaffarpur,354462,2015-16,76,4201,5102,15,26
SMART City Muzaffarpur,354462,2016-17,153,7840,11198,15,25
SMART City Muzaffarpur,354462,2017-18,153,7851,11202,15,25
