City Name,Population (2011),Year,Average No. of daily trips,Average No. of passengers (day-to-day basis),Average Trip length in km (daily),Average cost per km (daily),Revenue per km
TIRUNELVELI,473637,2015-16,2400,96000,35,0.55,19.05
TIRUNELVELI,473637,2016-17,2416,96640,35,0.58,21.78
TIRUNELVELI,473637,2017-18,2416,96640,35,0.58,27.61
