City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
MADURAI  ,1465625,2015-16,3494,545945,60,34,24
MADURAI  ,1465625,2016-17,3376,524293,62,36,23
MADURAI  ,1465625,2017-18,3174,513562,66,41,27
