City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Shillong,NA,2015-16,5,40 per bus per trip,30Km,Rs. 83.00,Rs. 40.00
Shillong,NA,2016-17,3,35 per bus per trip,25Km,Rs. 75.00,Rs. 35.00
Shillong,NA,2017-18,3,30 per bus per trip,20Km,Rs. 75.00,Rs. 35.00
