City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Warangal,823185,2015-16,5377,8.22,3.53,33.5,31.11
Warangal,823185,2016-17,6102,8.32,3.65,33.81,31.03
Warangal,823185,2017-18,6022,9.54,3.85,34.58,33.57
