City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
SMART City Raipur,NA,2015-16,628,18840,11304,22608,45216
SMART City Raipur,NA,2016-17,628,18840,11304,22608,45216
SMART City Raipur,NA,2017-18,628,18840,11304,22608,45216
