City Name,"Population 
2011",Year,"Public Transport -
 Average No. of 
daily trips","Public Transport - 
Average No. of 
passengers
 day-to-day basis","Public Transport - 
Average Trip 
length in 
km daily","Public Transport -
 Average cost 
per km daily","Public 
Transport - 
Revenue 
per km"
Kanpur,2765348,2015-16,286,11366,11649,36.05,18.62
Kanpur,2765348,2016-17,475,23316,18927,37,18.98
Kanpur,2765348,2017-18,479,19216,20238,39.66,20.92
