City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
New Town,NA,2015-16,741,90407,7.67,28.36,33.9
New Town,NA,2016-17,1056,139211,7.67,29.15,35.6
New Town,NA,2017-18,1056,152093,7.67,31.94,36.91
