City Name,Population (2011),Year,Public Transport - Average No. of daily trips,Public Transport - Average No. of passengers (day-to-day basis),Public Transport - Average Trip length in km (daily),Public Transport - Average cost per km (daily),Public Transport - Revenue per km
Davanagere,434971,2015-16,174,6738,16,33.89,22.71
Davanagere,NA,2016-17,368,15244,16,33.33,24.08
Davanagere,NA,2017-18,766,43673,16,32.38,25.74
